sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report
997,Widening and Up-gradation to 2-Lane with Paved Shoulder of configuration and geometric improvement from Km 0.000 to Km 16.990 on Chenani Sudhmahadev section of NH-244 in UT of Jammu and Kashmir to be executed on EPC basis,NHIDCL,618397,Jammu and Kashmir,2018-03-01,2018-11-01,2020-11-01,2025-12-01,255.9,255.9,239.96,94.06,106,July 2026,FlashReport_July_2026.pdf
998,Up-gradation to 2-lane with Paved Shoulder from Km 20.300 to Km 29.030 of 8.730 Km length on Goha-Khellani section on NH-244 in UT of Jammu and Kashmir on EPC Mode Package II,NHIDCL,618398,Jammu and Kashmir,2020-07-01,2020-10-01,2022-04-01,2026-06-01,210.79,210.79,190.27,96.95,106,July 2026,FlashReport_July_2026.pdf
999,Construction of Kishtwar bypass with 2 lane with paved shoulder from Design Km. 80.675 Dulhasti to km 95.550 Bandarkoot of 14.88 km & a link road to Kishtwar town from 0000 to 1.871 of length1.871 Km on Khellani - Kishtwar - Chattroo section in UT of Jammu and Kashmir on EPC Mode Pkg-4,NHIDCL,618399,Jammu and Kashmir,2021-03-01,2021-08-01,2023-08-01,2027-06-01,859.67,859.67,363.03,50.64,106,July 2026,FlashReport_July_2026.pdf
1000,Construction & Upgradation to 2-lane with paved shoulder from Design Km 67.805 at the end of Km 83rd Tunnel near Dhrabshalla Ex. Km 83905 to Km 80.675 start of Kishtwar Bypass - Dulhasti Ex. Km 970751 of 12.870 Km length on chenani- Sudhmahadev-Goha Khellani-Kishtwar-vailoo-Donipawa-Ashajipora seition of NH-244 in the UT of J&K on EPC Mode under NHO-Gen Pkg-3,NHIDCL,618400,Jammu and Kashmir,2021-03-01,2021-07-01,2022-12-01,2025-08-01,398.51,398.51,120.09,98.55,106,July 2026,FlashReport_July_2026.pdf
1001,Up-gradation to 4-lane with Paved Shoulder of Jammu-Akhnoor road section of NH- 144A from Ganesh Vihar Km 6.000 to Khati Chowk Km 26.350 in UT of Jammu and Kashmir on EPC basis Pkg-3A,NHIDCL,618406,Jammu and Kashmir,2018-03-01,2019-07-01,2021-07-01,2026-11-01,322.49,322.49,398.19,92.5,106,July 2026,FlashReport_July_2026.pdf
1002,Jammu-Akhnoor Road Pkg-I,NHIDCL,618407,Jammu and Kashmir,2018-03-01,2023-01-01,2025-01-01,2026-10-01,245.3,245.3,115.21,75.29,106,July 2026,FlashReport_July_2026.pdf
1003,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XV [Junction with Hiranagar Road near village Gurha Baildaran to Junction with Jammu Ring Road NH-244A near Jakh village from Km 468100 to Km 503250],NHAI,618494,Jammu and Kashmir,2021-10-01,2022-09-01,2024-09-01,2026-12-01,2714.95,3716.56,1846.59,90.01,106,July 2026,FlashReport_July_2026.pdf
1004,4/6L Access Control Expressway from Design Chainage Km 515.000 to 528.300 Kunjwani to Sidhra Section of NH-44 and from Design Chainage Km 550.900 to Km 566.520 Domel to Katra Section Phase II-Package XVII,NHAI,618495,Jammu and Kashmir,2022-06-01,2023-06-01,2025-06-01,2027-11-01,2894.74,2894.74,1016.96,66.74,107,July 2026,FlashReport_July_2026.pdf
1005,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XVI Existing Jakh Vijaypur-Kunjwani section of NH-44 including spur Connectivity to Jammu Airport NH-144A [Km 503500 to km 514500],NHAI,618496,Jammu and Kashmir,2021-09-01,2022-09-01,2024-09-01,2026-09-01,1821.72,2522.56,1238.6,94.14,107,July 2026,FlashReport_July_2026.pdf
1006,Delhi Amritsar Katra Expressway Phase-II Pkg XVIII Development and Upgradation of Four lane Access Control Expressway from Design Chainage KM 530.00 to KM 545.300 Sidhra to Domel Section of NH-44,NHAI,618497,Jammu and Kashmir,2022-12-01,2023-11-01,2025-11-01,2027-06-01,1025.73,975.38,631.2,70.17,107,July 2026,FlashReport_July_2026.pdf
1007,4L Ring road/bypass around Srinagar city from km 0.000 to km 42.100 Phase-I,NHAI,618541,Jammu and Kashmir,2021-03-01,2021-08-01,2024-02-01,2026-10-01,2919.96,2604.76,1832.29,89.0,107,July 2026,FlashReport_July_2026.pdf
1008,4L of existing Wayul Ganderbal Pandach Soura section of old NH-1 as a part of Srinagar Ring Road Phase IIA,NHAI,618542,Jammu and Kashmir,2024-12-01,2026-05-01,2028-05-01,2028-05-01,827.98,827.98,265.02,0.02,107,July 2026,FlashReport_July_2026.pdf
1009,4L of twin tube tunnel configuration including approaches from Marog to Digdol from Km.154.210 to Km.158.650 North Bound and from Km.155.940 to Km.160.260 South Bound of Ramban to Banihal Pkg-I of Old NH-1A New NH-44,NHAI,618543,Jammu and Kashmir,2021-07-01,2022-08-01,2025-08-01,2027-12-01,1912.17,1034.3,406.09,30.5,107,July 2026,FlashReport_July_2026.pdf
1010,"4L twin tube tunnel including approaches from Digdol to Khuni Nallah North Bound connecting with existing major bridge on NB and South Bound connecting with Tunnel T4 ,Single tube tunnel of Ramban to Banihal Pkg-II of Old NH-1A New NH-44",NHAI,618544,Jammu and Kashmir,2021-07-01,2022-02-01,2024-06-01,2026-09-01,1401.87,1020.99,1054.8,87.1,107,July 2026,FlashReport_July_2026.pdf
1011,"4L of Km.165.092 to Km.171.855 North Bound and from Km.166.895 to Km.173.638 South Bound, excl. certain reaches of North Bound and South Bound of Ramban to Banihal Pkg-III of Old NH-1A New NH-44",NHAI,618545,Jammu and Kashmir,2021-07-01,2022-02-01,2024-08-01,2027-06-01,614.48,444.76,306.05,42.8,107,July 2026,FlashReport_July_2026.pdf
1012,2L NH-1 from km 8.660 to km 33.775 Sumbal to Wayul to 4L dual carriageway NH standard as part of Srinagar Ring Road PhaseII [Design Ch. 41.907 to Ch. 66.609],NHAI,618547,Jammu and Kashmir,2022-11-01,2023-12-01,2026-06-01,2027-06-01,961.0,643.64,474.55,55.02,107,July 2026,FlashReport_July_2026.pdf
1013,Construction of twin tube tunnels on Jammu Kashmir Ring Road NH-244A Between Design Ch. 50600 to 51700 and design Ch. 53535 to 55700 on EPC mode under residual NHDP component of Bharatmala Pariyojna,NHAI,618549,Jammu and Kashmir,2022-11-01,2023-06-01,2025-06-01,2026-12-01,242.65,731.59,677.47,83.87,107,July 2026,FlashReport_July_2026.pdf
1014,Corridor Efficiency Improvement including removal of black spots in Lakhanpur - Samba section of NH-44 from Chainage Km. 16.300 to Km. 74.100,NHAI,618550,Jammu and Kashmir,2022-06-01,2022-12-01,2024-06-01,2026-12-01,855.74,215.68,203.55,74.63,107,July 2026,FlashReport_July_2026.pdf
1015,Upgradation and Strengthening of Chenani to Nashri Section via Patnitop of NH244 from Km 0.000 to Km 39.100,NHAI,618967,Jammu and Kashmir,2024-03-01,2024-08-01,2026-08-01,2027-03-01,295.06,295.06,176.25,64.88,107,July 2026,FlashReport_July_2026.pdf
1016,Construction/upgradation to 2-lane with paved shoulder from Design Km 95.55 Bandarkoot to Km. 111.06 Chattroo of 15.52 Km length on Khellani-Kishtwar-Chattroo section on NH-244 in UT of Jammu and Kashmir on EPC Mode Pkg-5,NHIDCL,619038,Jammu and Kashmir,2021-03-01,2021-08-01,2023-02-01,2026-03-01,497.09,497.09,270.82,99.97,107,July 2026,FlashReport_July_2026.pdf
1017,Widening and Strengthening of existing paveemnt to two lane with paved shoulders from km 116.00 to km 176.355 of NH-75E in the State of Jharkhand on EPC mode.,MoRTH,618060,Jharkhand,2022-01-01,2023-01-01,2024-07-01,2026-10-01,315.21,315.21,162.16,89.0,107,July 2026,FlashReport_July_2026.pdf
1018,Construction of byepass around Lohardaga town of NH-143A in the Sate of Jharkhand under EPC mode.,MoRTH,618083,Jharkhand,2022-02-01,2024-01-01,2026-01-01,2026-09-01,458.78,458.78,2.32,5.0,107,July 2026,FlashReport_July_2026.pdf
1019,Widening to 2-lane with paved shoulder from km 0.00 to 44.00 Kuru-Ghaghra section of NH-143A including re-construction of culverts and bridges.,MoRTH,618084,Jharkhand,2020-02-01,2021-08-01,2023-08-01,2026-10-01,153.01,133.67,100.77,95.0,107,July 2026,FlashReport_July_2026.pdf
1020,Construction of 2- Lane with paved shoulder from km 56.45 Dharampur More to 93.050 Pakur of NH-333A in the State of Jharkhand on EPC mode,MoRTH,618127,Jharkhand,2023-03-01,2025-11-01,2027-05-01,2027-05-01,255.73,255.73,10.06,15.0,107,July 2026,FlashReport_July_2026.pdf
1021,Widening and Reconstruction to 4-lane/4-lane with service road including structures from Pokharia More at Km 47.600 Ex. Km 50.230 to Govindpur at km 62.949 Ex. Km 65.325 of Nh-419 in the State of Jharkhand on EPC mode.,MoRTH,618242,Jharkhand,2022-05-01,2024-01-01,2026-01-01,2027-01-01,300.46,300.46,94.18,54.54,108,July 2026,FlashReport_July_2026.pdf
1022,Construction of Six lane elevated flyover including reconstruction/rehabilitation of existing pavement from Km 426230 to Km 430500 Length 4.27 Km at Nirsa in the Barwa Adda Panagarh section of NH-19 from Km.398.240 to Km.521.120 including Panagarh Bypass in the State of Jharkhand on EPC Mode.,NHAI,618534,Jharkhand,2025-01-01,2026-02-01,2028-08-01,2028-08-01,470.75,470.75,0.93,0.0,108,July 2026,FlashReport_July_2026.pdf
1023,Construction of Six lane elevated flyover including reconstruction/rehabilitation of existing pavement from Km 406100 to Km 411150 Length 5.05 Km at Gobindpur area in the Barwa Adda Panagarh section of NH-19 from Km.398.240 to Km.521.120 including Panagarh Bypass in the State of Jharkhand on EPC Mode.,NHAI,618535,Jharkhand,2025-01-01,2025-09-01,2028-03-01,2028-03-01,687.77,442.52,67.84,19.91,108,July 2026,FlashReport_July_2026.pdf
1024,4 Lane of CG/JH Border-Gumla from km 0.000 to km 32.370 of NH-43 in the State of Jhrkhand,NHAI,618641,Jharkhand,2024-08-01,2026-02-01,2028-02-01,2028-02-01,1325.8,1325.8,293.4,9.76,108,July 2026,FlashReport_July_2026.pdf
1025,4L of Palma to Gumla from km. 26.00 to km. 89.170 of NH-23,NHAI,618642,Jharkhand,2020-03-01,2022-04-01,2024-03-01,2026-09-01,1882.93,1895.75,1371.55,99.9,108,July 2026,FlashReport_July_2026.pdf
1026,4L of Ormanjhi-Gola section from Km 81.450 to Km 53.600 of NH- 320BPKG-II,NHAI,618644,Jharkhand,2022-02-01,2023-06-01,2025-06-01,2026-12-01,1214.93,1462.19,993.6,86.57,108,July 2026,FlashReport_July_2026.pdf
1027,4L of Gola-BokaroJaina More section from Km 53.600 to Km 21.110 of NH-320PKG-1,NHAI,618645,Jharkhand,2022-02-01,2023-06-01,2025-06-01,2026-10-01,1007.97,1030.64,617.85,78.1,108,July 2026,FlashReport_July_2026.pdf
1028,6 Lane Greenfield Varanasi- Ranchi- Kolkata Highway from Donoreshan village to junction with NH-20 in Bongabar village from km 288.600 to km 325.500 Pkg -11,NHAI,618729,Jharkhand,2023-03-01,2026-07-01,2028-07-01,2028-07-01,1856.12,1856.12,261.78,0.0,108,July 2026,FlashReport_July_2026.pdf
1029,6 Lane Greenfield Varanasi- Ranchi- Kolkata Highway from Deoria village to Donoreshan village from km 253.000 to km 288.600 Pkg -10,NHAI,618730,Jharkhand,2023-03-01,2026-05-01,2028-05-01,2028-05-01,1546.27,1546.27,183.44,5.65,108,July 2026,FlashReport_July_2026.pdf
1030,6 Lane Greenfield Varanasi- Ranchi- Kolkata Highway from Chatra to junction with NH- 100 in Deoria village from km 222.000 to km 253.000 Pkg -9,NHAI,618731,Jharkhand,2023-03-01,2026-07-01,2028-07-01,2028-07-01,1418.16,1418.16,143.72,0.0,108,July 2026,FlashReport_July_2026.pdf
1031,6L Greenfield Varanasi- Ranchi- Kolkata Highway from junction with NH-20 in Bongabar village to junction with NH-30 in Lepo village from km 325.500 to km 358.500 Pkg -12,NHAI,618733,Jharkhand,2023-03-01,2026-07-01,2028-07-01,2028-07-01,1525.52,1525.52,218.28,0.1,108,July 2026,FlashReport_July_2026.pdf
1032,4L Elevated corridor of Kalimandir-Dimna Chowk-Baliguma Jamshedpur Section of NH-33 New NH-18 from km 241940 to km 251961 Length 10.021 km,NHAI,618736,Jharkhand,2024-03-01,2024-09-01,2027-03-01,2027-03-01,936.26,832.2,328.76,49.5,108,July 2026,FlashReport_July_2026.pdf
1033,Grade separated Interchanges at Km. 113.730 junction with Ranchi Hazaribagh Road & Km. 139.225 junction with Ranchi Jamshedpur road on 4L Ranchi Bypass of NH-33,NHAI,618737,Jharkhand,2025-01-01,2025-12-01,2027-12-01,2027-12-01,303.53,5.58,4.98,0.0,108,July 2026,FlashReport_July_2026.pdf
1034,4L from Km 147.450 Bhogu to Km 196.870 Sankha on NH-75 Sec-III,NHAI,618830,Jharkhand,2022-10-01,2023-11-01,2025-11-01,2027-03-01,1517.87,1652.09,1131.52,76.95,108,July 2026,FlashReport_July_2026.pdf
1035,4L from Km 95.400 Udaipura to Km 147.450 Bhogu on NH-75 Sec-II,NHAI,618831,Jharkhand,2023-03-01,2024-10-01,2026-10-01,2027-03-01,1436.8,1301.54,419.62,29.2,108,July 2026,FlashReport_July_2026.pdf
1036,4L from Km 55.00 Kuru to Km 95.400 Udaipura on NH-75 Sec-I,NHAI,618832,Jharkhand,2024-02-01,2026-01-01,2028-01-01,2028-01-01,1274.82,1274.82,253.64,11.1,108,July 2026,FlashReport_July_2026.pdf
1037,Barhi-Koderma Section of NH31 km 0.00 - km 27.5,NHAI,618863,Jharkhand,2017-02-01,2019-11-01,2024-08-01,2026-08-01,662.44,826.59,825.2,98.5,108,July 2026,FlashReport_July_2026.pdf
1038,4L of NH-80 from km 215.00 to km 260.00 Mirza Chauki to Farkka Pkg-I,NHAI,618947,Jharkhand,2018-03-01,2021-12-01,2023-07-01,2026-10-01,1504.8,1508.21,1038.65,91.83,108,July 2026,FlashReport_July_2026.pdf
1039,4L of Basukinath- Deoghar Section of NH-114A,NHAI,618949,Jharkhand,2022-09-01,2023-12-01,2025-12-01,2026-08-01,1444.94,1553.76,781.51,90.53,108,July 2026,FlashReport_July_2026.pdf
1040,Construction of Bypass to NH-114A Connecting NH-333 and NH-133 Deoghar Bypass from design km 0.000 to design Km 49.000,NHAI,618950,Jharkhand,2024-11-01,2026-01-01,2028-01-01,2028-01-01,1565.47,1565.47,106.04,12.0,109,July 2026,FlashReport_July_2026.pdf
1041,Construction of bypass around Chatra Town on NH-22 old NH-99 in the state of Jharkhand under EPC Mode,MoRTH,619005,Jharkhand,2023-03-01,2026-01-01,2028-01-01,2028-01-01,235.42,199.2,0.86,13.0,109,July 2026,FlashReport_July_2026.pdf
1042,"Construction of Elevated corridor from Km. 135.650 to 136.300 on 63, from Km. 249 to Km. 250.050 on old NH-4 and from Km. 192.910 to Km. 193.350 on NH-218 from decongestion of traffic in Ranichennamma circle in Hubli city in the state of Karnataka on EPC basis",MoRTH,617935,Karnataka,2020-08-01,2021-06-01,2024-06-01,2026-11-01,298.0,349.49,232.09,65.0,109,July 2026,FlashReport_July_2026.pdf
1043,Construction of Srinivasapura Bypass from existing Km 453.890 Design Ch. 0000 to existing Km 461.450 Design Ch 10080 on NH-69 in the State of Karnataka Under NH O in EPC mode under Annual Plan 2022-23 NH-69-KNT-2022-23-966 dated 22.11.2022,MoRTH,617950,Karnataka,2022-11-01,2025-07-01,2027-01-01,2027-01-01,204.42,204.42,9.76,22.0,109,July 2026,FlashReport_July_2026.pdf
1044,Construction of Chintamani Bypass from Design Ch.0000 Existing Ch.428880 to Design Ch.15400 Existing Ch.444010 on NH-69 in the State of Karnataka in EPC Mode under NHO Annual Plan 2022-23. NH-69-KNT-2022-23-989 dated 24.03.2023,MoRTH,617951,Karnataka,2023-03-01,2026-01-01,2027-07-01,2027-07-01,314.55,314.55,7.02,14.0,109,July 2026,FlashReport_July_2026.pdf
1045,Widening to two lane with paved Shoulders from Km 40.00 to Km 75.00 Existing chainages of Mangalore - Tumkur section of NH-73 in the State of Karnataka on EPC Mode under Annual Plan 2021-22 Job No NH-73-KNT-2021-22-945,MoRTH,617955,Karnataka,2022-03-01,2023-03-01,2025-03-01,2026-12-01,718.52,718.52,312.83,85.0,109,July 2026,FlashReport_July_2026.pdf
1046,Construction of Major Bridge at Km.180.865 across river Krishna on NH 167 Hagari Jadcherla section,MoRTH,617989,Karnataka,2019-03-01,2019-05-01,2021-11-01,2027-04-01,157.32,187.61,103.33,69.0,109,July 2026,FlashReport_July_2026.pdf
1047,Widening of existing 2 lane to 4 lane with paved shoulder from Designed km 25.15 to km 56.70 Except Km 52.70 to 53.50 of NH-169 Nellisara Camp to Thirthahalli of NH- 169 on Shimoga-Mangalore section in the state of Karnataka on EPC mode under Annual plan 2022-23 NH-169-KNT-2022-23-978 dated 08.03.2023,MoRTH,617997,Karnataka,2023-03-01,2026-02-01,2028-02-01,2028-02-01,538.71,538.71,20.63,6.0,109,July 2026,FlashReport_July_2026.pdf
1048,Widening to existing 2 lane with paved Shoulder to 4 Lane with paved shoulder from design Km 153.00 to 168.27 Mala Gate to Karkala of NH -169 on Shimoga - Mangalore section in the state of Karnataka on EPC mode under Annula Plan 2021-22 Job No. NH-169-KNT-2021-22-949,MoRTH,617998,Karnataka,2022-03-01,2023-02-01,2025-02-01,2026-11-01,177.94,177.94,115.6,83.0,109,July 2026,FlashReport_July_2026.pdf
1049,Widening to 2LPS from Km 67 to Km 115 on Kadur-Hosadurga section NH 173 in the state of Karnataka NH-173-KNT-2022-23-980 dated 13.03.2023,MoRTH,617999,Karnataka,2023-03-01,2024-10-01,2026-05-01,2027-04-01,471.62,471.62,91.74,69.54,109,July 2026,FlashReport_July_2026.pdf
1050,Widening to 2-Lane with Paved Shoulders from Km 116.800 to 149.070Design Changes on Hosadurga - Holalkere Section of NH-173 in the State of Karnataka on EPC mode under Annual Plan 2021-22 Job no. NH-173-KNT-2021-22-946,MoRTH,618000,Karnataka,2022-03-01,2022-10-01,2024-02-01,2026-06-01,170.34,147.39,111.33,100.0,109,July 2026,FlashReport_July_2026.pdf
1051,Widening to 2LPS from Km 71.00 to 104.00 Existing chainages Sarjapur to Pattadkallu on Bhanapur to Gaddanakeri section NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23 NH-367-KNT-2022-23-972 dated 08.02.2023,MoRTH,618027,Karnataka,2023-02-01,2024-03-01,2026-03-01,2026-12-01,445.62,445.62,198.15,90.0,109,July 2026,FlashReport_July_2026.pdf
1052,"Construction of Bypass at Kuknoor, Yelburga, Gajendragada of Bhanapur Gaddanakeri section of NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23. NH-367-KNT-2022-23-973 dated 08.02.2023",MoRTH,618028,Karnataka,2023-02-01,2025-06-01,2027-06-01,2027-06-01,333.96,333.96,63.62,36.0,109,July 2026,FlashReport_July_2026.pdf
1053,Widening to 4 lane from Km. 133.00 to 158.04 design Chainage Km. 130.88 to 155.145 Shirur Cross to Gaddankeri of NH-367 in the State of Karnataka on EPC mode. Job No. NH-367-KNT-2021-22-930,MoRTH,618029,Karnataka,2022-01-01,2023-01-01,2025-01-01,2027-03-01,350.69,312.06,203.12,83.33,109,July 2026,FlashReport_July_2026.pdf
1054,Balance work of Construction of Two/Four lane with paved shoulder from Km 422.000 to 523.600 Chitradurga to Shivamogga of NH-13 in the state of Kanataka on EPC mode.,MoRTH,618031,Karnataka,2021-01-01,2021-12-01,2025-12-01,2026-08-01,516.96,516.96,121.75,98.0,109,July 2026,FlashReport_July_2026.pdf
1055,"Widening to Two Lane with Paved Shoulders from KB Cross to Chunchanahalli ie., Design Ch. 485240 Km Existing Km 494.000 to Design Ch. 523393 Km Existing km 533.152 & From Design Ch. 530393 Existing Km 540.175 to Design Ch. 534476 Existing Km 544.200 at Nelligere of NH-150A on EPC mode under Annual Plan 2022-23 NH-150A-KNT-2022-23-977 dated 08.03.2023",MoRTH,618086,Karnataka,2023-03-01,2025-07-01,2027-01-01,2027-01-01,617.28,617.28,8.03,48.5,110,July 2026,FlashReport_July_2026.pdf
1056,Widening to intermediate/two lane to 2 lane with paved shoulder from Existing chanages Km 112.750 to 142.00 Liingasur to Mudabal cross & from Km. 147.070 to Km. 149.070 Maski city limit of Jewargi Chamrajnagar setion of NH-150A in the state of Karnataka on EPC mode. Job No. NH-150A-KNT-2021-22-951,MoRTH,618087,Karnataka,2022-03-01,2023-01-01,2024-07-01,2026-08-01,255.88,255.88,185.27,96.0,110,July 2026,FlashReport_July_2026.pdf
1057,Widening to Two Lane with Paved Shoulders from Km 0.00 Design Chainage 0.00 to Km 23.338 Design Chainage 23310 of NH-166E MH/KNT Border- Kanamadi- Bijjargi- Tikota section in the state of Karnataka in EPC Mode under Annual plan 2022-23 NH- 166E-KNT-2022-23-974,MoRTH,618095,Karnataka,2023-02-01,2024-09-01,2026-03-01,2027-03-01,196.05,196.05,72.94,75.0,110,July 2026,FlashReport_July_2026.pdf
1058,Widening to 4 lane from Km 51.60 to 76.20 Hebri to Parkala and from Km 85.20 to 88.90 Karavali junction to Malpe of Thirthahalli-Udupi-Malpe Section of NH-169A in the State of Karnataka on EPC Mode under Annual plan 2021-22 Job No. NH-169A- KNT-2021-22-927,MoRTH,618109,Karnataka,2022-01-01,2022-12-01,2024-12-01,2026-11-01,355.72,355.72,217.46,88.33,110,July 2026,FlashReport_July_2026.pdf
1059,Widening to 2 Lane with Paved Shoulders from design Km 103.200 Existing Km 103.200 to design Km 116.700 Existing Km 118.470 on AP/KNT Border to Sira Section of NH-544E in the State of Karnatakaon EPC mode under Annual plan 2022- 23,MoRTH,618147,Karnataka,2023-01-01,2024-03-01,2025-09-01,2026-08-01,166.58,166.58,46.69,65.0,110,July 2026,FlashReport_July_2026.pdf
1060,Widening to 4LPS of NH-548B from Km 80.000 Near Murgundi to Km 140.200 Near Chikkodi excluding length from Km 118.450 to Km 128.450 in the State of Karnataka under NH O on EPC Mode under Annual Plan 2022-23 - Package 1 NH-548B-KNT- 2022-23-979 dated 09.03.2023,MoRTH,618148,Karnataka,2023-03-01,2026-04-01,2028-04-01,2028-04-01,785.79,785.79,6.15,0.0,110,July 2026,FlashReport_July_2026.pdf
1061,Widening to two lane with paved shoulders from Km 0.00 to 102.310 Design Chainage of NH-548B Murrum-Maharashtra Border in the State of Karnataka,MoRTH,618149,Karnataka,2023-02-01,2025-01-01,2027-01-01,2027-01-01,957.09,957.09,288.23,60.21,110,July 2026,FlashReport_July_2026.pdf
1062,Widening to 4LPS of NH-548B from Km 118.450 Near Shirguppi to Km 128.450 Near Ankali in the State of Karnataka under NH O on EPC Mode Under Annual Plan 2022- 23 NH-548B-KNT-2022-23-982,MoRTH,618151,Karnataka,2023-03-01,2026-05-01,2029-05-01,,1084.29,1084.29,1.71,0.0,110,July 2026,FlashReport_July_2026.pdf
1063,Construction of 2 Lane with paved shoulder from km 55.6 to km 90.7 existing chainages of NH-766C complete Realignment of 13.76 km with 2 major Bridges across Sharavathi Backwaters on EPC mode under Annual Plan 2022-23 in the state of Karnataka NH-766C-KNT-2022-23 dated 14.10.2022,MoRTH,618184,Karnataka,2023-01-01,2024-02-01,2026-02-01,2027-12-01,313.56,313.56,160.08,65.0,110,July 2026,FlashReport_July_2026.pdf
1064,Widening to 2LPS from Km 0.000 to 37.850 Except Ex. Km 24.45 to 27.20 of NH-766c Byndoor-Ranebennur Section in the state of Karnataka on EPC Mode under Annual Plan 2022-23 NH-766C-KNT-2022-23-969 dated 30.12.2022,MoRTH,618185,Karnataka,2022-12-01,2025-08-01,2027-08-01,2027-08-01,394.95,394.95,15.68,12.0,110,July 2026,FlashReport_July_2026.pdf
1065,Widening to two lane with paved shoulder of NH-73New spur road Ujire - Dharmasthala - Periyashanthi in the State of Karnataka under NHO on HAM Mode Job No. NH-73Spur-KNT-2023-24-996,MoRTH,618189,Karnataka,2024-01-01,2025-11-01,2027-11-01,2027-11-01,613.65,613.65,66.04,25.18,110,July 2026,FlashReport_July_2026.pdf
1066,4/6L of Bangalore - Pune Section of bypass connecting Dharwad - Hubli from km. 403.80 to km. 433.20,NHAI,618517,Karnataka,2021-12-01,2023-03-01,2025-09-01,2027-05-01,1135.39,763.36,744.42,83.19,110,July 2026,FlashReport_July_2026.pdf
1067,Davanagere - Haveri of NH-48 Old NH-4 from km. 260.00 to km. 338.923,NHAI,618518,Karnataka,2017-01-01,2018-01-01,2020-07-01,2026-12-01,1454.67,1805.84,1273.5,98.87,110,July 2026,FlashReport_July_2026.pdf
1068,4L of km 0.00 to km 42.00 of Dobbaspet to Doddaballapura Bypass section of NH-648 old NH-207] [Bangalore Ring Road Pkg 1],NHAI,618520,Karnataka,2020-08-01,2021-04-01,2023-04-01,2026-09-01,1438.74,1786.57,1294.84,99.2,110,July 2026,FlashReport_July_2026.pdf
1069,6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 26.000 to Km. 97.000 in Gulbarga of NH-150C Pkg-II,NHAI,618630,Karnataka,2022-02-01,2022-12-01,2025-06-01,2026-12-01,2355.56,1923.3,1012.1,81.35,110,July 2026,FlashReport_July_2026.pdf
1070,4 Lane with PS from Des. Ch 228.500 to Des. Ch. 273.400 of Belgaum-Hungund- Raichur Section of NH 748 A Package-6,NHAI,618649,Karnataka,2023-03-01,2024-11-01,2026-11-01,2027-06-01,1246.15,1012.78,399.31,53.8,111,July 2026,FlashReport_July_2026.pdf
1071,4 Lane with PS from Des. Ch 89.900 to Des. Ch. 136.100 of Belgaum-Hungund- Raichur Section of NH-748A Package-3,NHAI,618650,Karnataka,2024-01-01,2025-04-01,2027-04-01,2028-02-01,1363.9,1219.62,306.09,24.5,111,July 2026,FlashReport_July_2026.pdf
1072,4 Lane with PS from Des. Ch 43.800 to Des. Ch. 89.900 of Belgaum-Hungund- Raichur Section of NH-748A Package-2,NHAI,618651,Karnataka,2024-02-01,2025-03-01,2027-02-01,2027-07-01,1427.88,1293.94,594.55,58.7,111,July 2026,FlashReport_July_2026.pdf
1073,4LPS Access Controlled Highway of Bellary Bypass Balance work from Ch. 254750 to Ch. 266837 and construction of 4LPS from Ch. 277.690 to Ch. 278.690 at D. Hirehal Village Balance work of NH 150A of Bellary Byrapura Section,NHAI,618697,Karnataka,2024-02-01,2024-08-01,2026-07-01,2027-10-01,626.01,284.05,113.26,38.97,111,July 2026,FlashReport_July_2026.pdf
1074,4L of Addahole Near Gundya to Bantwal Cross section Pkg-02 from Design Km 270.270 to Design km 318.55 including flyover at Kalladka Town including approaches from Km. 311.57 to Km. 313.67 of NH-75 Old NH-48,NHAI,618702,Karnataka,2020-12-01,2021-11-01,2023-11-01,2027-04-01,1660.19,1318.24,1452.0,94.21,111,July 2026,FlashReport_July_2026.pdf
1075,Bangalore-Nidagatta Pkg. I,NHAI,618706,Karnataka,2018-02-01,2019-05-01,2021-11-01,2026-09-01,3496.01,4087.42,4315.21,99.19,111,July 2026,FlashReport_July_2026.pdf
1076,Additional works under BM1 to ensure road safety under 6L of Bengaluru Mysuru Access control with close toll from Km.17.300 to Km.136.300 of NH-275,NHAI,618707,Karnataka,2024-11-01,2026-01-01,2028-01-01,2028-05-01,738.37,738.37,32.83,12.67,111,July 2026,FlashReport_July_2026.pdf
1077,4L of Left-Over Works of Hospet-Bellary -Karnataka/AP border from Km.280.080 Dec.Ch. to Km.375450Des.Ch. of NH-63 New-67,NHAI,618709,Karnataka,2023-03-01,2023-05-01,2025-05-01,2028-04-01,1340.15,992.6,929.02,92.51,111,July 2026,FlashReport_July_2026.pdf
1078,Belakeri Port to Kumta - Sirsi road from km 0.00 - km 4.265 of Belekeri Port Road Link Rd. and km 4.965 - km 60.00 of SH-69,NHAI,618799,Karnataka,2018-03-01,2020-12-01,2022-12-01,2026-11-01,440.16,456.79,471.12,95.23,111,July 2026,FlashReport_July_2026.pdf
